High,Low,Close,Date
890,879,881,12/7/2022
890,879,881,12/9/2022
880,842.8,846,12/11/2022
846,801.7,815,12/12/2022
816.9,804.7,807.1,12/13/2022
818,807,808,12/14/2022
815,803.5,804,12/15/2022
810,793,794,12/18/2022
800,794,797,12/19/2022
807,797,800,12/20/2022
816,800,807,12/21/2022
811,800.1,810,12/22/2022
840,811,838,12/26/2022
860,834,842,12/27/2022
847,826.1,834.9,12/28/2022
844,835.1,843,12/29/2022
865,850,854.5,1/1/2023
751,725,739,1/2/2023
750,735,736,1/3/2023
750,730,736.9,1/4/2023
745,727,727,1/5/2023
739,718.5,719.1,1/8/2023
733.4,712,719,1/9/2023
735,718,719.2,1/10/2023
733.5,713.7,714,1/12/2023
725,709,711,1/17/2023
718,703,703.9,1/18/2023
710,701,703.5,1/19/2023
729,710,710.9,1/23/2023
715,709,713,1/24/2023
719,709,709.1,1/25/2023
714.5,705.3,705.6,1/26/2023
709,701.1,702.5,1/29/2023
706,688.5,698,1/30/2023
700,688,690.4,1/31/2023
695,686,690,2/1/2023
694.5,685.1,688,2/2/2023
698,678,681,2/5/2023
692,677.3,691.9,2/7/2023
698,676,693,2/9/2023
690,680,683,2/12/2023
683,674,675,2/14/2023
676,669,670.2,2/16/2023
670.2,661,662.5,2/20/2023
689.5,664.2,678.9,2/22/2023
679,665,669,2/23/2023
670,652,663.5,2/26/2023
669,656.1,657,2/28/2023
660,654,655,3/1/2023
653,648,649.1,3/2/2023
650,635,637.3,3/5/2023
642,637,639,3/7/2023
648.9,641,647,3/9/2023
653,635,636.9,3/12/2023
634,623,625,3/14/2023
628,618,618,3/15/2023
623,605,613,3/16/2023
625,605,606,3/19/2023
613.7,606.5,613,3/20/2023
619.9,610,613,3/22/2023
612,603,605,3/23/2023
612.5,602,606.5,3/28/2023
610,599,609,3/29/2023
612,600.6,603,3/30/2023
610,595,597.8,4/2/2023
600,587,589.9,4/3/2023
595,586.1,589,4/4/2023
595,588,590,4/5/2023
600,588,592.2,4/6/2023
590,578.1,580,4/9/2023
588,577,582.1,4/10/2023
593.7,582.1,592,4/11/2023
630.9,598,629,4/12/2023
643.8,610,618.9,4/13/2023
630,613,617,4/16/2023
620,604,616,4/18/2023
627,603.7,620,4/19/2023
632,608,620,4/20/2023
621,607.7,609,4/23/2023
612,603,605,4/24/2023
607,600,605.5,4/25/2023
610,603.5,604,4/26/2023
605.5,598,600,4/27/2023
605,593,597,4/30/2023
608,585.1,599.5,5/2/2023
600,595,598.5,5/3/2023
600,595,598.9,5/4/2023
600,593.1,595,5/7/2023
612,581.8,595,5/9/2023
600,589,590,5/10/2023
594,589,590,5/11/2023
601,583.5,584.9,5/14/2023
595,583.1,583.8,5/15/2023
592,582,584,5/16/2023
600,590,590,5/18/2023
611,595,595.1,5/21/2023
601,592,599,5/22/2023
607,598,605.5,5/23/2023
613.9,603,606,5/24/2023
